employee_id,first_name,last_name,team,position,age,email,country,postal_code,favorite_color
1,Sabra,Nutley,CSP team,position5,41,snutley0@umich.edu,Indonesia,,red
2,Louella,Rolph,CSP team,position6,41,lrolph1@ebay.com,Brazil,35670-000,red
3,Tanhya,Rogier,MS team,position5,68,trogier2@paginegialle.it,Thailand,14150,red
4,Sabina,Fonso,MS team,position1,61,sfonso3@plala.or.jp,Indonesia,,red
5,Kaylee,Decort,sales,position3,54,kdecort4@unblog.fr,Ukraine,,blue
6,Armstrong,Plail,pre sales,position2,40,aplail5@google.com.br,Peru,,blue
7,Marlo,Scrivinor,sales,position5,37,mscrivinor6@histats.com,Tunisia,,green
8,Shaun,Lutwyche,CSP team,position5,42,slutwyche7@delicious.com,Russia,393995,blue
9,Fiann,Brewse,pre sales,position4,49,fbrewse8@china.com.cn,China,,green
10,Bordie,Tellenbach,pre sales,position1,20,btellenbach9@twitter.com,Greece,,red
11,Johny,Wolsey,pre sales,position1,82,jwolseya@ow.ly,New Zealand,9814,blue
12,Chalmers,Kuna,Implementation team,position3,78,ckunab@loc.gov,China,,red
13,Devin,Schurig,Implementation team,position2,45,dschurigc@tripadvisor.com,Russia,413093,green
14,Saxon,Josifovitz,MS team,position5,46,sjosifovitzd@state.tx.us,Russia,249111,red
15,Mic,Reely,CSP team,position2,57,mreelye@mysql.com,Ecuador,,blue
16,Kilian,Ashton,MS team,position1,69,kashtonf@theguardian.com,Czech Republic,783 35,blue
17,Dyna,Canedo,Implementation team,position3,35,dcanedog@ifeng.com,China,,red
18,Dierdre,Hearmon,solutions,position1,80,dhearmonh@noaa.gov,China,,blue
19,Alfreda,Portingale,pre sales,position4,56,aportingalei@nyu.edu,Albania,,blue
20,Farleigh,Derill,Implementation team,position3,44,fderillj@usnews.com,Afghanistan,,green
21,Blane,Dickson,CSP team,position4,50,bdicksonk@hugedomains.com,China,,red
22,Luisa,Spring,Implementation team,position1,71,lspringl@wsj.com,South Africa,2600,green
23,Fawne,Trembath,sales,position1,49,ftrembathm@accuweather.com,Guinea,,blue
24,Benny,Stenner,CSP team,position1,46,bstennern@reuters.com,Poland,84-122,blue
25,Valaria,Roostan,pre sales,position4,85,vroostano@house.gov,China,,blue
26,Joli,Snaddin,Implementation team,position4,72,jsnaddinp@blinklist.com,China,,green
27,Winn,Keary,sales,position1,45,wkearyq@sourceforge.net,France,20311 CEDEX 1,blue
28,Alejandra,Peaddie,solutions,position5,34,apeaddier@whitehouse.gov,Cameroon,,blue
29,Vaughn,Monier,pre sales,position6,53,vmoniers@tinypic.com,Iraq,,green
30,Jyoti,Grigorio,solutions,position1,83,jgrigoriot@upenn.edu,Thailand,10560,green
31,Gilly,Titherington,sales,position6,19,gtitheringtonu@de.vu,Brazil,27300-000,blue
32,Fay,Spradbrow,Implementation team,position6,82,fspradbrowv@npr.org,Indonesia,,blue
33,Abbie,Elcy,MS team,position1,19,aelcyw@sina.com.cn,Philippines,3114,blue
34,Lelia,Wigan,MS team,position2,49,lwiganx@domainmarket.com,Brazil,77645-000,red
35,Kippy,Dowbakin,MS team,position3,76,kdowbakiny@merriam-webster.com,Indonesia,,blue
36,Tamarra,Keirl,sales,position1,76,tkeirlz@mediafire.com,China,,blue
37,Sergent,Brettoner,CSP team,position2,35,sbrettoner10@blinklist.com,Serbia,,blue
38,Ogdon,Scanlon,pre sales,position4,52,oscanlon11@cdc.gov,Peru,,red
39,Sheelagh,Dene,pre sales,position6,25,sdene12@behance.net,Tanzania,,green
40,L;urette,Patel,sales,position4,54,lpatel13@odnoklassniki.ru,Philippines,4710,blue
41,Kim,de Clerk,pre sales,position5,69,kdeclerk14@artisteer.com,China,,green
