employee_id,gender,sex,group,first_name,last_name,age,email,country,favorite_color
1,Female,Female,Group A,Gerrilee,Brabin,23,gbrabin0@cbslocal.com,Uganda,green
2,Female,Polygender,Group A,Natalie,Trinder,74,ntrinder1@mozilla.com,China,red
3,Male,Male,Group C,Sal,Chezier,21,schezier2@goodreads.com,Brazil,green
4,Male,Bigender,Group C,Trudey,Broxup,49,tbroxup3@dagondesign.com,Germany,blue
5,Male,Male,Group A,Thedric,Haggerston,30,thaggerston4@hubpages.com,Brazil,red
6,Agender,Female,Group A,Jeniffer,Collman,49,jcollman5@flickr.com,Malaysia,red
7,Polygender,Female,Group A,Evania,Brumhead,68,ebrumhead6@creativecommons.org,Philippines,red
8,Female,Male,Group A,Thorvald,Petrina,43,tpetrina7@jiathis.com,Tanzania,red
9,Male,Genderfluid,Group B,Bathsheba,Ardley,84,bardley8@arizona.edu,China,green
10,Polygender,Bigender,Group B,Selle,Castellini,24,scastellini9@bloomberg.com,Philippines,blue
11,Female,Non-binary,Group B,Tucker,Elkington,28,telkingtona@elpais.com,China,red
12,Male,Male,Group B,Waverly,Heaven,38,wheavenb@domainmarket.com,Philippines,green
13,Male,Male,Group B,Hakeem,Stormont,61,hstormontc@bravesites.com,Peru,red
14,Male,Female,Group A,Christan,Dunbleton,34,cdunbletond@blogtalkradio.com,China,red
15,Female,Female,Group B,Shena,Counter,19,scountere@gnu.org,China,red
16,Female,Female,Group A,Aeriell,Room,29,aroomf@cam.ac.uk,Portugal,red
17,Male,Male,Group B,Welby,Woffenden,46,wwoffendeng@xing.com,Indonesia,blue
18,Female,Male,Group C,Zebedee,Keepe,51,zkeepeh@a8.net,China,red
19,Female,Female,Group B,Karin,Loins,67,kloinsi@cnn.com,Philippines,green
20,Female,Female,Group B,Karleen,Manklow,57,kmanklowj@cdbaby.com,South Korea,green
21,Female,Genderqueer,Group C,Wallache,Maynard,62,wmaynardk@mlb.com,Peru,green
22,Female,Male,Group C,Mayne,Walden,73,mwaldenl@springer.com,Greece,green
23,Female,Female,Group C,Corrinne,Werlock,80,cwerlockm@adobe.com,Indonesia,red
24,Male,Male,Group A,Cross,Castagne,37,ccastagnen@networkadvertising.org,France,blue
25,Male,Female,Group C,Kinna,MacAllaster,20,kmacallastero@eventbrite.com,Portugal,red
26,Male,Female,Group A,Arline,Sickling,39,asicklingp@apache.org,China,red
27,Female,Male,Group C,Mordy,Woolfitt,74,mwoolfittq@tinyurl.com,Sweden,green
28,Polygender,Male,Group A,Nappy,Kenafaque,54,nkenafaquer@hubpages.com,Palestinian Territory,red
29,Female,Male,Group C,Geoff,Spenley,76,gspenleys@tamu.edu,Philippines,green
30,Female,Female,Group B,Liuka,Secker,21,lseckert@bloomberg.com,Nigeria,green
31,Male,Female,Group B,Caro,Hinners,82,chinnersu@blogspot.com,Finland,red
32,Male,Female,Group A,Josepha,Coulson,60,jcoulsonv@engadget.com,France,red
33,Male,Polygender,Group B,Mattias,Vigneron,20,mvigneronw@nih.gov,Colombia,green
